SAP_ID,LATITUDE,LONGITUDE
I-DL-DLHI-ENB-6551,28.64936667,77.27907778
I-DL-DLHI-ENB-8738,28.65089,77.28687
I-DL-DLHI-ENB-1833,28.65104194,77.31327778
I-DL-DLHI-ENB-1599,28.65111444,77.30293611
I-DL-DLHI-ENB-6505,28.65142556,77.30541944
I-DL-DLHI-ENB-3899,28.65192611,77.28286389
I-DL-DLHI-ENB-9383,28.65229389,77.2892
I-DL-DLHI-ENB-4297,28.65273,77.30747778
I-DL-DLHI-ENB-6971,28.65333333,77.31306111
I-DL-DLHI-ENB-6984,28.65383889,77.27987778
I-DL-DLHI-ENB-1768,28.65396667,77.29841389
I-DL-DLHI-ENB-3474,28.65598333,77.30117944
I-DL-DLHI-ENB-3462,28.65621389,77.27043333
I-DL-DLHI-ENB-1707,28.65621667,77.26605278
I-DL-DLHI-ENB-4173,28.65648889,77.27583333
I-DL-DLHI-ENB-9739,28.65676111,77.27321389
I-DL-DLHI-ENB-6553,28.65686389,77.30831111
I-DL-DLHI-ENB-6586,28.6575,77.29480833
I-DL-DLHI-ENB-7058,28.65774167,77.28867778
I-DL-DLHI-ENB-1580,28.65775556,77.31711833
I-DL-DLHI-ENB-9377,28.65793611,77.27758889
I-DL-DLHI-ENB-1536,28.65820278,77.2805
I-DL-DLHI-ENB-8888,28.65835556,77.26493333
I-DL-DLHI-ENB-9375,28.65846,77.28432
I-DL-DLHI-ENB-4125,28.65863611,77.26209722
I-DL-DLHI-ENB-1767,28.659325,77.31493056
I-DL-DLHI-ENB-1849,28.65975278,77.27181111
I-DL-DLHI-ENB-6961,28.66031944,77.27509444
I-DL-DLHI-ENB-1857,28.66034167,77.28948333
I-DL-DLHI-ENB-3264,28.66055278,77.29278889
I-DL-DLHI-ENB-5963,28.66079444,77.26055833
I-DL-DLHI-ENB-3657,28.66095,77.27826389
I-DL-DLHI-ENB-8858,28.66104167,77.26390556
I-DL-DLHI-ENB-3336,28.66140833,77.29998056
I-DL-DLHI-ENB-9384,28.66187222,77.28829167
I-DL-DLHI-ENB-1548,28.66199722,77.316325
I-DL-DLHI-ENB-3266,28.66206944,77.267115
I-DL-DLHI-ENB-1526,28.66235833,77.2932
I-DL-DLHI-ENB-9380,28.66248611,77.26844861
I-DL-DLHI-ENB-1538,28.66328611,77.26941333
